States/UTs,T-Junction - Total Number of Accidents - Number,T-Junction - Persons Killed - Number,T-Junction - Persons Injured - Greviously Injured,T-Junction - Persons Injured - Minor Injury,T-Junction - Persons Injured - Total Injured,Y-Junction - Total Number of Accidents,Y-Junction - Persons Killed,Y-Junction - Persons Injured - Greviously Injured,Y-Junction - Persons Injured - Minor Injury,Y-Junction - Persons Injured - Total Injured,Four arm Junction - Total Number of Accidents,Four arm Junction - Persons Killed,Four arm Junction - Persons Injured - Greviously Injured,Four arm Junction - Persons Injured - Minor Injury,Four arm Junction - Persons Injured - Total Injured,Staggered Junction - Total Number of Accidents,Staggered Junction - Persons Killed,Staggered Junction - Persons Injured - Greviously Injured,Staggered Junction - Persons Injured - Minor Injury,Staggered Junction - Persons Injured - Total Injured,Round about Junction - Total Number of Accidents,Round about Junction - Persons Killed,Round about Junction - Persons Injured - Greviously Injured,Round about Junction - Persons Injured - Minor Injury,Round about Junction - Persons Injured - Total Injured,Others - Total Number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured,Vehicle ageLess than 5 Years - Total Accidents - Number,Less than 5 Years - Total Accidents - Rank,Less than 5 Years - Persons Killed - Number,Less than 5 Years - Persons Killed - Rank,Less than 5 Years - Persons Injured - Greviously Injured,Less than 5 Years - Persons Injured - Minor Injury,Less than 5 Years - Persons Injured - Total Injured,5.1 - 10 Years - Total Accidents,5.1 - 10 Years - Persons Killed,5.1 - 10 Years - Persons Injured - Greviously Injured,5.1 - 10 Years - Persons Injured - Minor Injury,5.1 - 10 Years - Persons Injured - Total Injured,10.1 - 15 Years - Total Accidents,10.1 - 15 Years - Persons Killed,10.1 - 15 Years - Persons Injured - Greviously Injured,10.1 - 15 Years - Persons Injured - Minor Injury,10.1 - 15 Years - Persons Injured - Total Injured,> 15 Years - Total Accidents,> 15 Years - Persons Killed,> 15 Years - Persons Injured - Greviously Injured,> 15 Years - Persons Injured - Minor Injury,> 15 Years - Persons Injured - Total Injured,Age not known - Total Accidents,Age not known - Persons Killed,Age not known - Persons Injured - Greviously Injured,Age not known - Persons Injured - Minor Injury,Age not known - Persons Injured - Total Injured,Human Age and sex 18 Yrs - Killed - Male,18 Yrs - Killed - Female,18-25 Yrs - Killed - Male,18-25 Yrs - Killed - Female,25-35 Yrs - Killed - Male,25-35 Yrs - Killed - Female,35-40 Yrs - Killed - Male,35-40 Yrs - Killed - Female,45-60 Yrs - Killed - Male,45-60 Yrs - Killed - Female,60 Yrs above - Killed - Male,60 Yrs above - Killed - Female,Age not known - Killed - Male,Age not known - Killed - Female,Non-safety Drivers - Persons Killed - Number,Drivers - Persons Killed - Rank,Drivers - Persons Injured - Greviously Injured,Drivers - Persons Injured - Minor Injury,Drivers - Persons Injured - Total Injured,Passengers - Persons Killed - Number,Passengers - Persons Killed - Rank,Passengers - Persons Injured - Greviously Injured,Passengers - Persons Injured - Minor Injury,Passengers - Persons Injured - Total Injured,Area Residential Area - Total Accidents,Residential Area - Persons Killed,Residential Area - Persons Injured - Greviously Injured,Residential Area - Persons Injured - Minor Injury,Residential Area - Persons Injured - Total Injured,Institutional Area - Total Accidents,Institutional Area - Persons Killed,Institutional Area - Persons Injured - Greviously Injured,Institutional Area - Persons Injured - Minor Injury,Institutional Area - Persons Injured - Total Injured,Market/Commercial Area - Total Accidents,Market/Commercial Area - Persons Killed,Market/Commercial Area - Persons Injured - Greviously Injured,Market/Commercial Area - Persons Injured - Minor Injury,Market/Commercial Area - Persons Injured - Total Injured,Open Area - Total Accidents - Number,Open Area - Total Accidents - Rank,Urban - Total Accidents,Urban - Persons Killed,Urban - Persons Injured - Greviously Injured,Urban - Persons Injured - Minor Injury,Urban - Persons Injured - Total Injured,Rural - Total Accidents,Rural - Persons Killed,Rural - Persons Injured - Greviously Injured,Rural - Persons Injured - Minor Injury,Rural - Persons Injured - Total Injured,Total - Total Accidents,Total - Persons Killed,Total - Persons Injured - Greviously Injured,Total - Persons Injured - Minor Injury,Total - Persons Injured - Total Injured,Load of vehicle Normally Loaded - No. of Accidents,Normally Loaded - No. of Persons - Killed,Normally Loaded - No. of Persons - Injured,Overloaded/Hangin - No. of Accidents,Overloaded/Hangin - No. of Persons - Killed,Overloaded/Hangin - No. of Persons - Injured,Others - No. of Accidents,Others - No. of Persons - Killed,Others - No. of Persons - Injured,Traffic rules Over-Speeding - Number of - Number,Over-Speeding - Number of - Rank,Over-Speeding - Persons Killed - Number,Over-Speeding - Persons Killed - Rank,Over-Speeding - Persons Injured - Greviously Injured,Over-Speeding - Persons Injured - Minor Injury,Over-Speeding - Persons Injured - Total Injured,Drunken Driving/Consumption of Alcohol & Drug - Number of Accidents,Drunken Driving/Consumption of Alcohol & Drug - Persons Killed,Drunken Driving/Consumption of Alcohol & Drug - Persons Injured - Greviously Injured,Drunken Driving/Consumption of Alcohol & Drug - Persons Injured - Minor Injury,Drunken Driving/Consumption of Alcohol & Drug - Persons Injured - Total Injured,Driving on Wrong Side - Number of Accidents,Driving on Wrong Side - Persons Killed,Driving on Wrong Side - Persons Injured - Greviously Injured,Driving on Wrong Side - Persons Injured - Minor Injury,Driving on Wrong Side - Persons Injured - Total Injured,Jumping Red Light - Number of Accidents,Jumping Red Light - Persons Killed,Jumping Red Light - Persons Injured - Greviously Injured,Jumping Red Light - Persons Injured - Minor Injury,Jumping Red Light - Persons Injured - Total Injured,Use of Mobile Phone - Number of Accidents,Use of Mobile Phone - Persons Killed,Weather Sunny/Clear - Total Accidents - Number,Sunny/Clear - Total Accidents - Rank,Sunny/Clear - Persons Killed - Number,Sunny/Clear - Persons Killed - Rank,Sunny/Clear - Persons Injured - Greviously Injured,Sunny/Clear - Persons Injured - Minor Injury,Sunny/Clear - Persons Injured - Total Injured,Rainy - Total Accidents,Rainy - Persons Killed,Rainy - Persons Injured - Greviously Injured,Rainy - Persons Injured - Minor Injury,Rainy - Persons Injured - Total Injured,Foggy & Misty - Total Accidents,Foggy & Misty - Persons Killed,Foggy & Misty - Persons Injured - Greviously Injured,Foggy & Misty - Persons Injured - Minor Injury,Foggy & Misty - Persons Injured - Total Injured,Hail/Sleet - Total Accidents,Hail/Sleet - Persons Killed,Hail/Sleet - Persons Injured - Greviously Injured,Hail/Sleet - Persons Injured - Minor Injury,Hail/Sleet - Persons Injured - Total Injured,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured,vehicle type Pedestrian - Male,Pedestrian - Female,Pedestrian - Total,Bycycles - Male,Bycycles - Female,Bycycles - Total,Two Wheelers - Male,Two Wheelers - Female,Two Wheelers - Total,Two Wheelers - Rank,Auto Rickshaws - Male,Auto Rickshaws - Female,Auto Rickshaws - Total,"Cars, taxies Vans & LMV - Male","Cars, taxies Vans & LMV - Female","Cars, taxies Vans & LMV - Total",Trucks/Lorries - Male,Trucks/Lorries - Female,Trucks/Lorries - Total,Buses - Male,Buses - Female,Buses - Total,Other Motor Vehicles - Male,Other Motor Vehicles - Female,Other Motor Vehicles - Total,Other Persons - Male,Other Persons - Female,Other Persons - Total,Type of collision Hit & Run - Total Accidents,Hit & Run - Persons Killed,Hit & Run - Persons Injured - Greviously Injured,Hit & Run - Persons Injured - Minor Injury,Hit & Run - Persons Injured - Total Injured,With Parked Vehicle - Total Accidents,With Parked Vehicle - Persons Killed,With Parked Vehicle - Persons Injured - Greviously Injured,With Parked Vehicle - Persons Injured - Minor Injury,With Parked Vehicle - Persons Injured - Total Injured,Hit from Back - Total Accidents,Hit from Back - Persons Killed,Hit from Back - Persons Injured - Greviously Injured,Hit from Back - Persons Injured - Minor Injury,Hit from Back - Persons Injured - Total Injured,Hit from Side - Total Accidents,Hit from Side - Persons Killed,Hit from Side - Persons Injured - Greviously Injured,Hit from Side - Persons Injured - Minor Injury,Hit from Side - Persons Injured - Total Injured,Run Off Road - Total Accidents,Run Off Road - Persons Killed,Run Off Road - Persons Injured - Greviously Injured,Run Off Road - Persons Injured - Minor Injury,Run Off Road - Persons Injured - Total Injured,Fixed Object - Total Accidents,Fixed Object - Persons Killed,Fixed Object - Persons Injured - Greviously Injured,Fixed Object - Persons Injured - Minor Injury,Fixed Object - Persons Injured - Total Injured,Vehicle Overturn - Total Accidents,Vehicle Overturn - Persons Killed,Vehicle Overturn - Persons Injured - Greviously Injured,Vehicle Overturn - Persons Injured - Minor Injury,Vehicle Overturn - Persons Injured - Total Injured,Head on Collision - Total Accidents - Number,Head on Collision - Total Accident - Rank,Head on Collision - Persons Killed - Number,Head on Collision - Persons Killed - Rank,Head on Collision - Persons Injured - Greviously Injured,Head on Collision - Persons Injured - Minor Injury,Head on Collision - Persons Injured - Total Injured,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured,Type of road Straight Road - Number of Accidents - Number,Straight Road - Number of Accidents - Rank,Straight Road - Persons Killed - Number,Straight Road - Persons Killed - Rank,Straight Road - Persons Injured - Greviously Injured,Straight Road - Persons Injured - Minor Injury,Straight Road - Persons Injured - Total Injured,Curved Road - Number of Accidents,Curved Road - Persons Killed,Curved Road - Persons Injured - Greviously Injured,Curved Road - Persons Injured - Minor Injury,Curved Road - Persons Injured - Total Injured,Bridge - Number of Accidents,Bridge - Persons Killed,Bridge - Persons Injured - Greviously Injured,Bridge - Persons Injured - Minor Injury,Bridge - Persons Injured - Total Injured,Culvert - Number of Accidents,Culvert - Persons Killed,Culvert - Persons Injured - Greviously Injured,Culvert - Persons Injured - Minor Injury,Culvert - Persons Injured - Total Injured,Pot Holes - Number of Accidents,Pot Holes - Persons Killed,Pot Holes - Persons Injured - Greviously Injured,Pot Holes - Persons Injured - Minor Injury,Pot Holes - Persons Injured - Total Injured,Steep Grade - Number of Accidents,Steep Grade - Persons Killed,Steep Grade - Persons Injured - Greviously Injured,Steep Grade - Persons Injured - Minor Injury,Steep Grade - Persons Injured - Total Injured,Ongoing Road Works/Under Construction - Number of Accidents,Ongoing Road Works/Under Construction - Persons Killed,Ongoing Road Works/Under Construction - Persons Injured - Greviously Injured,Ongoing Road Works/Under Construction - Persons Injured - Minor Injury,Ongoing Road Works/Under Construction - Persons Injured - Total Injured,Others - Number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured,License Valid Permanent - Number,Valid Permanent - Rank,Learner's Licence,Without Licence,Others,Total Accidents,Time 06-0900hrs - (Day),09-1200hrs - (Day),12-1500hrs - (Day),15-1800hrs - (Day),18-2100hrs - (Night),21-2400hrs - (Night),00-300hrs - (Night),03-600hrs - (Night),Unknown Time,Total Accidents
Andhra Pradesh,2384,762,1006,1300,2306,1473,404,659,841,1500,1253,395,425,690,1115,1053,351,399,750,1149,1274,476,316,950,1266,17038,5168,3662,12458,16120,10086,6,2916,8,2223,7056,9279,7115,2056,1921,4853,6774,2166,626,713,1667,2380,2129,828,968,1454,2422,2979,1130,642,1959,2601,10,0,20,1,27,1,34,0,56,2,19,1,0,0,395,9,433,801,1234,451,11,416,1358,1774,3806,1154,1249,2482,3731,1134,274,403,701,1104,3190,848,855,1888,2743,12731,7,7460,1794,1975,4217,6192,17015,5762,4492,12772,17264,24475,7556,6467,16989,23456,13037,4435,13392,3070,880,3359,8368,2241,6705,17740,7,6196,8,4699,13420,18119,1345,85,73,114,187,740,192,335,512,847,48,1,26,23,49,82,7,19793,7,5880,9,4155,14306,18461,852,282,435,582,1017,1305,506,575,686,1261,55,28,10,35,45,2470,860,1292,1380,2672,1252,317,1569,166,5,171,2892,272,3164,7,455,157,612,528,112,640,694,87,781,183,42,225,215,49,264,101,29,130,1248,594,277,583,860,574,189,168,395,563,4659,1281,1604,3251,4855,1845,493,791,1061,1852,973,317,378,617,995,660,254,201,555,756,750,314,286,781,1067,8595,5,2778,3,1453,7202,8655,5171,1336,1309,2544,3853,18431,6,5614,8,4224,13095,17319,2662,825,1017,1831,2848,625,205,225,417,642,454,166,148,382,530,3,1,0,3,3,83,34,10,30,40,256,117,70,84,154,1961,594,773,1147,1920,18115,8,1558,3024,1778,24475,2596,3412,3603,4317,4971,2594,1395,1574,13,24475
Arunachal Pradesh,38,30,25,15,40,35,21,20,12,32,37,25,15,18,33,44,27,25,16,41,26,10,18,5,23,97,62,118,36,154,73,29,46,26,58,26,84,87,57,61,27,88,56,34,39,19,58,26,16,27,13,40,35,22,36,17,53,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,25,12,6,18,16,28,40,13,53,37,21,36,14,50,52,32,34,16,50,51,34,39,19,58,66,31,182,129,136,64,200,95,46,85,38,123,277,175,221,102,323,120,71,122,87,61,110,70,43,91,135,29,79,27,86,36,122,55,41,59,24,83,8,6,4,2,6,0,0,0,0,0,51,32,80,32,49,29,64,27,91,71,47,61,28,89,40,26,30,19,49,0,0,0,0,0,86,53,66,28,94,3,5,8,2,0,2,41,0,41,26,7,2,9,44,10,54,14,0,14,40,7,47,0,0,0,0,0,0,30,22,24,10,34,12,4,16,9,25,9,3,7,7,14,13,5,14,5,19,23,15,23,6,29,11,8,15,10,25,58,38,11,17,28,53,29,36,25,30,14,44,68,44,81,24,105,54,32,29,30,39,19,58,31,21,27,14,41,42,24,29,14,43,37,22,28,11,39,0,0,0,0,0,33,23,29,12,41,29,26,28,13,41,51,30,41,19,60,67,32,63,64,83,277,36,34,26,28,25,20,33,28,47,277
Assam,838,260,520,100,620,624,188,386,95,481,501,132,357,63,420,342,97,232,23,255,438,99,218,76,294,5505,2190,4251,1054,5305,3450,15,1174,15,2522,567,3089,2361,884,1805,361,2166,1175,388,861,224,1085,466,226,335,135,470,796,294,441,124,565,21,0,48,1,30,2,24,0,2,0,0,0,0,0,69,18,165,66,231,170,18,324,122,446,1161,409,823,206,1029,709,223,468,123,591,1819,568,1239,284,1523,3180,16,4424,1516,3129,594,3723,3824,1450,2835,817,3652,8248,2966,5964,1411,7375,5369,1964,4955,1431,432,1157,1448,570,1263,2532,21,995,18,1264,172,1436,377,130,270,85,355,1448,482,858,330,1188,159,62,120,29,149,112,22,3891,16,1456,18,2969,508,3477,1555,525,1525,279,1804,1018,315,570,235,805,34,9,47,2,49,1750,661,853,387,1240,406,109,515,119,9,128,722,86,808,17,99,32,131,505,89,594,303,7,310,192,30,222,241,17,258,0,0,0,1333,522,1000,362,1362,336,97,271,32,303,1914,726,1381,262,1643,1272,420,918,239,1157,301,96,169,64,233,248,89,177,56,233,751,290,538,129,667,806,16,339,18,553,103,656,1287,387,957,164,1121,4664,16,1759,17,3663,747,4410,964,315,682,145,827,496,172,270,103,373,238,69,176,45,221,182,68,121,40,161,136,30,98,18,116,448,109,221,108,329,1120,444,733,205,938,6994,14,624,269,361,8248,948,1414,1463,1414,1252,748,448,452,109,8248
Bihar,812,509,395,100,495,388,237,218,70,288,424,261,234,73,307,0,0,0,0,0,124,70,80,41,121,7852,5652,4379,1089,5468,4586,11,3363,7,2537,655,3192,2499,1700,1336,333,1669,1197,789,665,237,902,842,548,463,110,573,476,329,305,38,343,29,12,20,8,25,6,34,7,11,1,0,0,0,0,343,11,245,90,335,2131,2,1672,500,2172,1820,1203,1037,321,1358,478,312,353,93,446,1410,854,773,292,1065,5892,12,3551,2337,1973,478,2451,6049,4392,3333,895,4228,9600,6729,5306,1373,6679,6340,4477,4171,1396,979,1149,1864,1273,1359,8116,12,5809,9,4294,1084,5378,10,3,12,6,18,1241,777,849,240,1089,130,79,90,9,99,103,61,5532,14,3966,10,3030,706,3736,1980,1276,1034,299,1333,2088,1487,1242,368,1610,0,0,0,0,0,0,0,0,0,0,593,163,756,119,34,153,2451,266,2717,8,291,96,387,865,149,1014,735,87,822,421,87,508,284,88,372,0,0,0,5196,3955,2812,702,3514,267,149,166,66,232,1012,639,659,134,793,862,583,541,205,746,655,416,359,95,454,331,55,68,17,85,433,268,291,73,364,844,15,664,15,410,81,491,0,0,0,0,0,7621,13,5473,9,3877,942,4819,1186,725,837,215,1052,217,147,183,63,246,234,137,195,83,278,0,0,0,0,0,194,150,117,25,142,148,97,97,45,142,0,0,0,0,0,8173,12,587,207,633,9600,1620,2137,1532,1623,1139,436,175,938,0,9600
Chhattisgarh,1730,483,282,1095,1377,549,162,113,343,456,825,215,106,412,518,543,177,157,371,528,66,12,10,43,53,10151,3543,1829,7954,9783,3741,12,1205,14,735,2889,3624,2816,977,489,2184,2673,1091,328,163,817,980,1474,518,195,979,1174,4742,1564,915,3349,4264,4,2,18,3,22,4,34,2,23,1,13,0,5,2,366,10,232,730,962,479,10,284,1253,1537,3191,964,647,2181,2828,879,223,76,481,557,1270,302,167,766,933,6837,11,4970,1242,720,3493,4213,8894,3350,1777,6725,8502,13864,4592,2497,10218,12715,6352,1972,6074,471,146,508,7041,2474,6133,12813,10,4270,10,2226,9598,11824,216,55,65,114,179,740,252,177,443,620,37,3,4,24,28,58,12,8132,11,2615,15,1420,5921,7341,1610,487,258,1127,1385,579,224,167,408,575,0,0,0,0,0,3543,1266,652,2762,3414,342,96,438,119,14,133,1979,214,2193,12,52,17,69,379,56,435,426,35,461,101,21,122,568,77,645,89,7,96,2241,858,409,1422,1831,361,127,55,258,313,2546,617,388,1756,2144,2083,533,338,1488,1826,603,245,105,422,527,451,185,62,287,349,488,197,136,503,639,2252,11,720,12,445,1743,2188,2839,1110,559,2339,2898,8243,12,2674,15,1418,5895,7313,1656,476,239,1230,1469,257,98,53,244,297,286,88,64,267,331,112,20,15,85,100,151,30,21,105,126,341,91,79,245,324,2818,1115,608,2147,2755,9287,11,786,1387,2404,13864,1521,1762,2238,2788,3007,1437,564,547,0,13864
Goa,129,7,7,31,38,58,4,5,13,18,269,9,12,227,239,0,0,0,0,0,93,5,0,11,11,3160,237,322,921,1243,1730,16,101,24,126,667,793,1474,111,151,392,543,335,26,37,98,135,111,11,26,36,62,59,13,6,10,16,0,0,1,0,0,0,1,0,2,0,0,0,0,0,6,28,18,24,42,18,26,69,303,372,306,52,59,173,232,35,2,3,6,9,1103,84,105,309,414,2265,19,1184,77,140,383,523,2525,185,206,820,1026,3709,262,346,1203,1549,3708,262,1549,1,0,0,0,0,0,2853,20,216,23,270,1049,1319,9,4,2,0,2,90,4,37,7,44,1,0,0,2,2,0,0,3482,19,239,23,332,1117,1449,227,23,14,86,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,9,49,4,0,4,155,27,182,23,1,0,1,16,5,21,2,1,3,0,0,0,0,0,0,2,0,2,59,13,6,8,14,27,1,0,2,2,943,57,103,370,473,1361,76,107,445,552,232,27,1,61,62,311,26,9,95,104,43,3,0,19,19,733,18,59,22,120,203,323,0,0,0,0,0,3071,19,211,23,275,1005,1280,619,49,71,193,264,19,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3556,19,2,92,59,3709,369,527,553,680,710,526,172,172,0,3709
Gujarat,2096,749,974,858,1832,818,318,380,394,774,1606,488,805,684,1489,1892,650,843,907,1750,1060,402,487,519,1006,11297,5389,6123,4493,10616,5831,10,2202,10,2950,2465,5415,5083,2102,2719,2297,5016,3510,1809,1556,1496,3052,3324,1251,2110,1291,3401,1021,632,277,306,583,14,1,31,2,35,4,16,1,22,1,3,0,0,0,557,6,627,449,1076,772,7,860,687,1547,4098,1431,2047,1705,3752,1047,333,578,496,1074,2483,749,1215,1134,2349,11085,8,7532,2246,3453,3317,6770,11237,5750,6159,4538,10697,18769,7996,9612,7855,17467,13482,5469,12647,1586,765,1630,3701,1762,3190,16361,8,6988,6,8198,6667,14865,106,15,33,85,118,959,352,520,405,925,181,53,93,99,192,460,187,16941,10,7188,7,8587,7128,15715,1218,534,684,459,1143,610,274,341,268,609,0,0,0,0,0,0,0,0,0,0,929,241,1170,121,9,130,2237,309,2546,10,368,98,466,1363,263,1626,972,139,1111,220,57,277,403,62,465,181,24,205,3351,1782,1836,1270,3106,1309,478,613,570,1183,4563,1779,2417,1902,4319,3130,1070,1726,1214,2940,725,244,373,314,687,688,341,366,282,648,1697,766,902,664,1566,3235,10,1459,9,1308,1620,2928,71,77,71,19,90,14790,9,6213,7,7350,5901,13251,2368,1057,1351,1214,2565,733,365,378,347,725,391,156,212,181,393,1,1,0,0,0,277,123,179,111,290,208,81,140,101,241,1,0,2,0,2,13962,10,2650,843,1314,18769,2026,2927,3059,3249,3530,1997,1037,861,83,18769
Haryana,325,129,83,186,269,296,133,64,154,218,470,213,79,259,338,174,76,36,114,150,286,137,52,160,212,9687,4430,1805,7028,8833,1639,17,702,18,233,1323,1556,1395,684,234,1145,1379,957,457,180,828,1008,1025,434,224,869,1093,6222,2841,1248,3736,4984,15,2,25,2,24,7,15,2,24,3,11,2,9,2,187,15,96,367,463,220,16,177,379,556,1892,833,337,1336,1673,1213,524,200,884,1084,1630,761,302,1106,1408,4307,15,5311,2302,654,3749,4403,5927,2816,1465,4152,5617,11238,5118,2119,7901,10020,1951,823,1710,551,252,1055,8736,4043,7255,5922,14,2657,14,1266,3657,4923,474,251,132,411,543,1055,533,341,695,1036,512,218,158,420,578,474,269,5489,15,2242,16,883,3928,4811,1484,680,299,1044,1343,1960,906,407,1328,1735,301,138,66,312,378,2004,1152,464,1289,1753,1337,134,1471,123,20,143,1585,131,1716,15,167,27,194,590,97,687,377,23,400,105,12,117,254,29,283,95,12,107,2584,1114,393,1746,2139,748,353,67,455,522,699,325,124,463,587,723,343,125,437,562,361,145,85,235,320,324,135,41,309,350,798,401,130,516,646,760,17,347,17,152,517,669,4241,1955,1002,3223,4225,4693,15,2125,16,966,2950,3916,990,438,228,789,1017,570,252,107,496,603,206,92,46,285,331,473,222,114,375,489,200,80,47,236,283,282,130,63,258,321,3824,1779,548,2512,3060,3815,18,528,651,6244,11238,1169,1263,1301,1424,1377,1195,954,998,1557,11238
Himachal Pradesh,9,0,2,8,10,21,4,8,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3080,1204,1423,4092,5515,1141,22,486,19,632,1628,2260,768,299,296,1198,1494,234,100,95,421,516,149,47,97,130,227,818,276,313,741,1054,0,0,0,0,1,0,0,0,4,0,3,0,0,0,262,12,132,475,607,424,13,313,2203,2516,587,193,237,870,1107,230,59,110,215,325,622,168,297,598,895,1647,22,600,113,268,539,807,2510,1095,1165,3579,4744,3110,1208,1433,4118,5551,2621,1064,4760,130,89,655,359,55,136,1445,22,536,22,643,1742,2385,322,70,144,354,498,270,60,288,173,461,0,0,0,0,0,0,0,2716,21,1006,19,1262,3435,4697,168,95,75,353,428,212,100,93,294,387,4,1,1,11,12,10,6,2,25,27,147,35,182,8,0,8,262,31,293,20,5,0,5,421,87,508,63,1,64,47,35,82,64,2,66,0,0,0,662,158,280,404,684,109,16,22,85,107,157,46,65,190,255,407,75,212,365,577,644,580,261,1523,1784,197,92,99,309,408,156,58,48,337,385,608,20,130,19,375,855,1230,170,53,71,50,121,2011,21,676,20,939,2313,3252,872,402,405,1470,1875,30,15,19,18,37,0,0,0,0,0,21,18,5,22,27,117,60,47,164,211,50,35,15,127,142,9,2,3,4,7,1912,21,26,914,258,3110,260,448,528,610,653,369,155,87,0,3110
Jammu & Kashmir,461,88,245,452,697,149,34,79,105,184,70,21,35,38,73,29,4,38,12,50,1064,130,869,715,1584,4205,707,2903,2354,5257,1351,20,281,21,914,1018,1932,1327,164,668,1146,1814,277,49,251,198,449,101,9,22,138,160,2922,481,2314,1176,3490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,22,87,188,275,43,22,166,508,674,1007,162,249,985,1234,216,22,212,68,280,793,143,348,596,944,2219,20,1641,259,1197,688,1885,4337,725,2972,2988,5960,5978,984,4169,3676,7845,1532,254,2196,339,58,525,4107,672,5124,5915,15,971,19,4138,3605,7743,20,5,12,15,27,13,4,9,14,23,26,4,10,34,44,4,0,3876,17,616,22,2984,1830,4814,148,21,63,142,205,30,4,35,26,61,4,0,0,5,5,1920,343,1087,1673,2760,85,18,103,0,0,0,162,23,185,22,6,1,7,254,57,311,73,5,78,74,10,84,182,20,202,10,4,14,661,81,67,762,829,25,16,49,40,89,102,19,38,91,129,139,24,26,154,180,298,68,229,345,574,29,2,4,44,48,134,28,33,121,154,267,22,34,26,148,308,456,4323,712,3575,1811,5386,1434,22,311,22,416,1486,1902,422,83,191,468,659,43,4,4,46,50,19,5,9,13,22,8,0,1,7,8,4,2,1,4,5,25,6,6,33,39,4023,573,3541,1619,5160,4835,16,153,63,927,5978,520,1160,1285,1260,852,402,235,194,70,5978
